"","trimestre","setores","Valor"
"2","4º trimestre 2019","Agropecuária - total",59881
"3","4º trimestre 2019","Indústria - total",343004
"4","4º trimestre 2019","Indústrias extrativas",46966
"5","4º trimestre 2019","Indústrias de transformação",186613
"6","4º trimestre 2019","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",49878
"7","4º trimestre 2019","Construção",59546
"8","4º trimestre 2019","Serviços - total",1244135
"9","4º trimestre 2019","Comércio",215283
"10","4º trimestre 2019","Transporte, armazenagem e correio",71991
"11","4º trimestre 2019","Informação e comunicação",60297
"12","4º trimestre 2019","Atividades financeiras, de seguros e serviços relacionados",118925
"13","4º trimestre 2019","Atividades imobiliárias",158273
"14","4º trimestre 2019","Outras atividades de serviços",302707
"15","4º trimestre 2019","Administração, saúde e educação públicas e seguridade social",316658
"16","4º trimestre 2019","Valor adicionado a preços básicos",1647020
"17","4º trimestre 2019","Impostos líquidos sobre produtos",276001
"18","4º trimestre 2019","PIB a preços de mercado",1923021
"19","4º trimestre 2019","Despesa de consumo das famílias",1262583
"20","4º trimestre 2019","Despesa de consumo da administração pública",423399
"21","4º trimestre 2019","Formação bruta de capital fixo",285508
"22","4º trimestre 2019","Variação de estoque",-41584
"23","4º trimestre 2019","Exportação de bens e serviços",271032
"24","4º trimestre 2019","Importação de bens e serviços (-)",277917
"25","1º trimestre 2020","Agropecuária - total",124866
"26","1º trimestre 2020","Indústria - total",313521
"27","1º trimestre 2020","Indústrias extrativas",44685
"28","1º trimestre 2020","Indústrias de transformação",164681
"29","1º trimestre 2020","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",48707
"30","1º trimestre 2020","Construção",55448
"31","1º trimestre 2020","Serviços - total",1143671
"32","1º trimestre 2020","Comércio",201416
"33","1º trimestre 2020","Transporte, armazenagem e correio",67243
"34","1º trimestre 2020","Informação e comunicação",53529
"35","1º trimestre 2020","Atividades financeiras, de seguros e serviços relacionados",120249
"36","1º trimestre 2020","Atividades imobiliárias",160291
"37","1º trimestre 2020","Outras atividades de serviços",270131
"38","1º trimestre 2020","Administração, saúde e educação públicas e seguridade social",270812
"39","1º trimestre 2020","Valor adicionado a preços básicos",1582058
"40","1º trimestre 2020","Impostos líquidos sobre produtos",261805
"41","1º trimestre 2020","PIB a preços de mercado",1843863
"42","1º trimestre 2020","Despesa de consumo das famílias",1184872
"43","1º trimestre 2020","Despesa de consumo da administração pública",349885
"44","1º trimestre 2020","Formação bruta de capital fixo",293311
"45","1º trimestre 2020","Variação de estoque",35522
"46","1º trimestre 2020","Exportação de bens e serviços",260691
"47","1º trimestre 2020","Importação de bens e serviços (-)",280418
"48","2º trimestre 2020","Agropecuária - total",127239
"49","2º trimestre 2020","Indústria - total",302755
"50","2º trimestre 2020","Indústrias extrativas",36888
"51","2º trimestre 2020","Indústrias de transformação",168312
"52","2º trimestre 2020","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",45593
"53","2º trimestre 2020","Construção",51961
"54","2º trimestre 2020","Serviços - total",1103492
"55","2º trimestre 2020","Comércio",181683
"56","2º trimestre 2020","Transporte, armazenagem e correio",63617
"57","2º trimestre 2020","Informação e comunicação",54059
"58","2º trimestre 2020","Atividades financeiras, de seguros e serviços relacionados",114877
"59","2º trimestre 2020","Atividades imobiliárias",163213
"60","2º trimestre 2020","Outras atividades de serviços",241961
"61","2º trimestre 2020","Administração, saúde e educação públicas e seguridade social",284080
"62","2º trimestre 2020","Valor adicionado a preços básicos",1533485
"63","2º trimestre 2020","Impostos líquidos sobre produtos",175275
"64","2º trimestre 2020","PIB a preços de mercado",1708760
"65","2º trimestre 2020","Despesa de consumo das famílias",1038340
"66","2º trimestre 2020","Despesa de consumo da administração pública",377507
"67","2º trimestre 2020","Formação bruta de capital fixo",257463
"68","2º trimestre 2020","Variação de estoque",-24873
"69","2º trimestre 2020","Exportação de bens e serviços",324086
"70","2º trimestre 2020","Importação de bens e serviços (-)",263764
"71","3º trimestre 2020","Agropecuária - total",105459
"72","3º trimestre 2020","Indústria - total",354045
"73","3º trimestre 2020","Indústrias extrativas",47445
"74","3º trimestre 2020","Indústrias de transformação",205457
"75","3º trimestre 2020","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",46543
"76","3º trimestre 2020","Construção",54601
"77","3º trimestre 2020","Serviços - total",1168093
"78","3º trimestre 2020","Comércio",234867
"79","3º trimestre 2020","Transporte, armazenagem e correio",70694
"80","3º trimestre 2020","Informação e comunicação",55207
"81","3º trimestre 2020","Atividades financeiras, de seguros e serviços relacionados",110696
"82","3º trimestre 2020","Atividades imobiliárias",167118
"83","3º trimestre 2020","Outras atividades de serviços",252915
"84","3º trimestre 2020","Administração, saúde e educação públicas e seguridade social",276595
"85","3º trimestre 2020","Valor adicionado a preços básicos",1627597
"86","3º trimestre 2020","Impostos líquidos sobre produtos",264138
"87","3º trimestre 2020","PIB a preços de mercado",1891735
"88","3º trimestre 2020","Despesa de consumo das famílias",1167913
"89","3º trimestre 2020","Despesa de consumo da administração pública",371233
"90","3º trimestre 2020","Formação bruta de capital fixo",306322
"91","3º trimestre 2020","Variação de estoque",-18087
"92","3º trimestre 2020","Exportação de bens e serviços",336965
"93","3º trimestre 2020","Importação de bens e serviços (-)",272610
"94","4º trimestre 2020","Agropecuária - total",82275
"95","4º trimestre 2020","Indústria - total",344234
"96","4º trimestre 2020","Indústrias extrativas",56562
"97","4º trimestre 2020","Indústrias de transformação",189198
"98","4º trimestre 2020","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",48022
"99","4º trimestre 2020","Construção",50453
"100","4º trimestre 2020","Serviços - total",1271114
"101","4º trimestre 2020","Comércio",256066
"102","4º trimestre 2020","Transporte, armazenagem e correio",76119
"103","4º trimestre 2020","Informação e comunicação",61932
"104","4º trimestre 2020","Atividades financeiras, de seguros e serviços relacionados",106325
"105","4º trimestre 2020","Atividades imobiliárias",169984
"106","4º trimestre 2020","Outras atividades de serviços",279584
"107","4º trimestre 2020","Administração, saúde e educação públicas e seguridade social",321104
"108","4º trimestre 2020","Valor adicionado a preços básicos",1697623
"109","4º trimestre 2020","Impostos líquidos sobre produtos",305877
"110","4º trimestre 2020","PIB a preços de mercado",2003500
"111","4º trimestre 2020","Despesa de consumo das famílias",1279785
"112","4º trimestre 2020","Despesa de consumo da administração pública",427658
"113","4º trimestre 2020","Formação bruta de capital fixo",366638
"114","4º trimestre 2020","Variação de estoque",-68963
"115","4º trimestre 2020","Exportação de bens e serviços",334775
"116","4º trimestre 2020","Importação de bens e serviços (-)",336393
"117","1º trimestre 2021","Agropecuária - total",208789
"118","1º trimestre 2021","Indústria - total",348622
"119","1º trimestre 2021","Indústrias extrativas",74893
"120","1º trimestre 2021","Indústrias de transformação",180924
"121","1º trimestre 2021","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",47002
"122","1º trimestre 2021","Construção",45803
"123","1º trimestre 2021","Serviços - total",1195943
"124","1º trimestre 2021","Comércio",252024
"125","1º trimestre 2021","Transporte, armazenagem e correio",72609
"126","1º trimestre 2021","Informação e comunicação",56412
"127","1º trimestre 2021","Atividades financeiras, de seguros e serviços relacionados",113723
"128","1º trimestre 2021","Atividades imobiliárias",172114
"129","1º trimestre 2021","Outras atividades de serviços",252617
"130","1º trimestre 2021","Administração, saúde e educação públicas e seguridade social",276445
"131","1º trimestre 2021","Valor adicionado a preços básicos",1753355
"132","1º trimestre 2021","Impostos líquidos sobre produtos",294668
"133","1º trimestre 2021","PIB a preços de mercado",2048023
"134","1º trimestre 2021","Despesa de consumo das famílias",1232792
"135","1º trimestre 2021","Despesa de consumo da administração pública",359524
"136","1º trimestre 2021","Formação bruta de capital fixo",397465
"137","1º trimestre 2021","Variação de estoque",83972
"138","1º trimestre 2021","Exportação de bens e serviços",360480
"139","1º trimestre 2021","Importação de bens e serviços (-)",386210
"140","2º trimestre 2021","Agropecuária - total",179973
"141","2º trimestre 2021","Indústria - total",410373
"142","2º trimestre 2021","Indústrias extrativas",104095
"143","2º trimestre 2021","Indústrias de transformação",212657
"144","2º trimestre 2021","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",48014
"145","2º trimestre 2021","Construção",45607
"146","2º trimestre 2021","Serviços - total",1258738
"147","2º trimestre 2021","Comércio",273522
"148","2º trimestre 2021","Transporte, armazenagem e correio",70085
"149","2º trimestre 2021","Informação e comunicação",61107
"150","2º trimestre 2021","Atividades financeiras, de seguros e serviços relacionados",105866
"151","2º trimestre 2021","Atividades imobiliárias",175039
"152","2º trimestre 2021","Outras atividades de serviços",272064
"153","2º trimestre 2021","Administração, saúde e educação públicas e seguridade social",301054
"154","2º trimestre 2021","Valor adicionado a preços básicos",1849083
"155","2º trimestre 2021","Impostos líquidos sobre produtos",294281
"156","2º trimestre 2021","PIB a preços de mercado",2143364
"157","2º trimestre 2021","Despesa de consumo das famílias",1253218
"158","2º trimestre 2021","Despesa de consumo da administração pública",408803
"159","2º trimestre 2021","Formação bruta de capital fixo",390198
"160","2º trimestre 2021","Variação de estoque",-24256
"161","2º trimestre 2021","Exportação de bens e serviços",482070
"162","2º trimestre 2021","Importação de bens e serviços (-)",366669
